ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,SubGroup
Achang,Achang,acha1249,,,Eurasia,24.25,97.8333,Sino-Tibetan,Burmish
Bela,Bela,pela1242,,,Eurasia,24.45,98.6,Sino-Tibetan,Burmish
Lashi,Lashi,lash1243,,,Eurasia,24.45,98.6,Sino-Tibetan,Burmish
Maru,Maru,maru1249,,,Eurasia,24.45,98.6,Sino-Tibetan,Burmish
Phon,Phon,hpon1238,,,Eurasia,25.3248194,97.3544031,Sino-Tibetan,Burmish
WrittenBurmese,Written_Burmese,oldb1235,,,Eurasia,21.16,94.90,Sino-Tibetan,Burmish
Zaiwa,Zaiwa,zaiw1241,,,Eurasia,24.45,98.6,Sino-Tibetan,Burmish
